UF,municipio,idhm,idhm_educacao,idhm_longevidade,idhm_renda,classe
Rio Grande do Sul,VIAMÃO,0.717,0.591,0.866,0.72,Médio Desenvolvimento Humano
Rio Grande do Sul,VICENTE DUTRA,0.638,0.489,0.809,0.656,Médio Desenvolvimento Humano
Rio Grande do Sul,VICTOR GRAEFF,0.777,0.722,0.84,0.774,Médio Desenvolvimento Humano
Rio Grande do Sul,VILA FLORES,0.742,0.65,0.867,0.725,Médio Desenvolvimento Humano
Rio Grande do Sul,VILA LÂNGARO,0.705,0.551,0.839,0.759,Médio Desenvolvimento Humano
Rio Grande do Sul,VILA MARIA,0.761,0.664,0.839,0.791,Médio Desenvolvimento Humano
Rio Grande do Sul,VILA NOVA DO SUL,0.662,0.544,0.827,0.645,Médio Desenvolvimento Humano
Rio Grande do Sul,VISTA ALEGRE,0.739,0.631,0.842,0.76,Médio Desenvolvimento Humano
Rio Grande do Sul,VISTA ALEGRE DO PRATA,0.78,0.692,0.847,0.809,Médio Desenvolvimento Humano
Rio Grande do Sul,VISTA GAÚCHA,0.757,0.669,0.839,0.774,Médio Desenvolvimento Humano
Rio Grande do Sul,VITÓRIA DAS MISSÕES,0.655,0.526,0.809,0.659,Médio Desenvolvimento Humano
Rio Grande do Sul,WESTFALIA,0.752,0.63,0.849,0.796,Médio Desenvolvimento Humano
Rio Grande do Sul,XANGRI-LÁ,0.735,0.63,0.852,0.74,Médio Desenvolvimento Humano
