UF,municipio,idhm,idhm_educacao,idhm_longevidade,idhm_renda,classe
Rio Grande do Sul,PANAMBI,0.761,0.691,0.848,0.752,Médio Desenvolvimento Humano
Rio Grande do Sul,PANTANO GRANDE,0.661,0.524,0.816,0.676,Médio Desenvolvimento Humano
Rio Grande do Sul,PARAÍ,0.773,0.679,0.866,0.787,Médio Desenvolvimento Humano
Rio Grande do Sul,PARAÍSO DO SUL,0.676,0.537,0.831,0.692,Médio Desenvolvimento Humano
Rio Grande do Sul,PARECI NOVO,0.749,0.668,0.852,0.738,Médio Desenvolvimento Humano
Rio Grande do Sul,PAROBÉ,0.704,0.562,0.886,0.7,Médio Desenvolvimento Humano
Rio Grande do Sul,PASSA SETE,0.622,0.482,0.782,0.639,Médio Desenvolvimento Humano
Rio Grande do Sul,PASSO DO SOBRADO,0.698,0.551,0.851,0.726,Médio Desenvolvimento Humano
Rio Grande do Sul,PASSO FUNDO,0.776,0.699,0.849,0.787,Médio Desenvolvimento Humano
Rio Grande do Sul,PAULO BENTO,0.71,0.571,0.858,0.73,Médio Desenvolvimento Humano
Rio Grande do Sul,PAVERAMA,0.683,0.541,0.84,0.701,Médio Desenvolvimento Humano
Rio Grande do Sul,PEDRAS ALTAS,0.64,0.493,0.82,0.647,Médio Desenvolvimento Humano
Rio Grande do Sul,PEDRO OSÓRIO,0.678,0.551,0.829,0.683,Médio Desenvolvimento Humano
Rio Grande do Sul,PEJUÇARA,0.741,0.648,0.867,0.724,Médio Desenvolvimento Humano
Rio Grande do Sul,PELOTAS,0.739,0.632,0.844,0.758,Médio Desenvolvimento Humano
Rio Grande do Sul,PICADA CAFÉ,0.758,0.701,0.842,0.738,Médio Desenvolvimento Humano
Rio Grande do Sul,PINHAL,0.72,0.624,0.852,0.701,Médio Desenvolvimento Humano
Rio Grande do Sul,PINHAL DA SERRA,0.65,0.513,0.835,0.641,Médio Desenvolvimento Humano
Rio Grande do Sul,PINHAL GRANDE,0.678,0.577,0.804,0.672,Médio Desenvolvimento Humano
Rio Grande do Sul,PINHEIRINHO DO VALE,0.71,0.607,0.828,0.713,Médio Desenvolvimento Humano
Rio Grande do Sul,PINHEIRO MACHADO,0.661,0.499,0.846,0.685,Médio Desenvolvimento Humano
Rio Grande do Sul,PIRAPÓ,0.669,0.553,0.824,0.656,Médio Desenvolvimento Humano
Rio Grande do Sul,PIRATINI,0.658,0.517,0.821,0.672,Médio Desenvolvimento Humano
